file,checkpoint,epoch_index,epoch,stage,dataset,teacher,student,target,loss_name,model_type,model,train_loss,train_ce,train_mse,train_top1,train_top5,val_loss,val_ce,val_mse,val_top1,val_top5
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,17,17,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.26147374830778014,0.0,0.26147374830778014,0.0,0.0,0.2688145001407432,0.0,0.2688145001407432,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,18,18,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.2548021595672568,0.0,0.2548021595672568,0.0,0.0,0.24872903755181122,0.0,0.24872903755181122,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,19,19,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.24962183350421172,0.0,0.24962183350421172,0.0,0.0,0.24789831709332413,0.0,0.24789831709332413,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,20,20,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.246016659544268,0.0,0.246016659544268,0.0,0.0,0.2519049382392186,0.0,0.2519049382392186,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,21,21,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.24360700633687463,0.0,0.24360700633687463,0.0,0.0,0.24736698870897794,0.0,0.24736698870897794,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,22,22,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.23849628328490416,0.0,0.23849628328490416,0.0,0.0,0.24507737658669776,0.0,0.24507737658669776,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,23,23,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.23471137591658342,0.0,0.23471137591658342,0.0,0.0,0.23134667993915214,0.0,0.23134667993915214,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,24,24,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.23196235754994768,0.0,0.23196235754994768,0.0,0.0,0.23975093821452037,0.0,0.23975093821452037,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,25,25,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.23075694410687947,0.0,0.23075694410687947,0.0,0.0,0.2259678465448054,0.0,0.2259678465448054,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,26,26,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.2267239506221776,0.0,0.2267239506221776,0.0,0.0,0.22565746298431455,0.0,0.22565746298431455,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,27,27,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.22496567744299117,0.0,0.22496567744299117,0.0,0.0,0.22455175435117442,0.0,0.22455175435117442,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,28,28,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.22388013053169203,0.0,0.22388013053169203,0.0,0.0,0.22200181468216965,0.0,0.22200181468216965,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,29,29,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.22297944839156597,0.0,0.22297944839156597,0.0,0.0,0.22287709800878017,0.0,0.22287709800878017,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,30,30,,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,0.2223625024171668,0.0,0.2223625024171668,0.0,0.0,0.22211491804991332,0.0,0.22211491804991332,0.0,0.0
aircraft_convnext_tiny_student_l_postgap_mse_ce.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse_ce.pt,1,1,,aircraft,convnext_tiny,student_l,postgap,mse_ce,distilled,student_l distilled,8.085796003221535,6.807789418678764,1.2780065584411575,1.6196760636428622,6.14877024480663,6.665124312485799,5.729308111332145,0.935816207627366,1.7701770177017702,6.960696069606961
aircraft_convnext_tiny_student_l_postgap_mse_ce.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse_ce.pt,2,2,,aircraft,convnext_tiny,student_l,postgap,mse_ce,distilled,student_l distilled,7.404115250672705,6.391743331021296,1.0123719029177716,1.349730053989202,6.508698260347931,6.134746225324437,5.274299793546707,0.8604464302397762,1.5901590159015901,7.020702070207021
aircraft_convnext_tiny_student_l_postgap_mse_ce.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse_ce.pt,3,3,,aircraft,convnext_tiny,student_l,postgap,mse_ce,distilled,student_l distilled,7.294028082220012,6.343640314009495,0.9503877788656975,1.5896820635872826,6.20875824835033,6.319357318489036,5.603163734056054,0.7161936003490142,1.17011701170117,6.450645064506451
aircraft_convnext_tiny_student_l_postgap_mse_ce.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse_ce.pt,4,4,,aircraft,convnext_tiny,student_l,postgap,mse_ce,distilled,student_l distilled,6.9904964523681565,6.068519275919291,0.9219771792735607,1.349730053989202,6.688662267546491,5.567216648556182,4.8094645404901515,0.7577521084594612,1.5901590159015901,8.070807080708072
aircraft_convnext_tiny_student_l_postgap_mse_ce.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse_ce.pt,5,5,,aircraft,convnext_tiny,student_l,postgap,mse_ce,distilled,student_l distilled,6.632123232888975,5.734521363835601,0.8976018744167198,1.6496700659868027,8.218356328734254,5.811157038002231,5.040560305744473,0.7705967322756426,1.9801980198019802,9.870987098709872
aircraft_convnext_tiny_student_l_postgap_mse_ce.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse_ce.pt,6,6,,aircraft,convnext_tiny,student_l,postgap,mse_ce,distilled,student_l distilled,6.182018507149095,5.364020994915244,0.817997529289289,2.0095980792397428,9.628074383978795,5.905267911453773,5.137814855561255,0.7674530686789935,3.5703570357035703,11.761176117611761
aircraft_convnext_tiny_student_l_postgap_mse_ce.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse_ce.pt,7,7,,aircraft,convnext_tiny,student_l,postgap,mse_ce,distilled,student_l distilled,6.129032727123094,5.284380751737379,0.8446519852542705,2.729454108033984,10.917816435568477,5.688986899292652,4.980798665875613,0.7081882335064542,2.16021602160216,11.641164116411641
