file,checkpoint,dataset,teacher,student,target,loss_name,model_type,model,epochs,stages,stage_transition_epoch,selection_metric,selection_reason,best_epoch,best_stage,best_epoch_index,best_stage_int,first_train_loss,first_train_ce,first_train_mse,first_train_top1,first_train_top5,first_val_loss,first_val_ce,first_val_mse,first_val_top1,first_val_top5,best_train_loss,best_train_ce,best_train_mse,best_train_top1,best_train_top5,best_val_loss,best_val_ce,best_val_mse,best_val_top1,best_val_top5,final_train_loss,final_train_ce,final_train_mse,final_train_top1,final_train_top5,final_val_loss,final_val_ce,final_val_mse,final_val_top1,final_val_top5,test_loss,test_ce,test_mse,test_top1,test_top5,max_val_loss,min_val_loss,max_val_ce,min_val_ce,max_val_mse,min_val_mse,max_val_top1,min_val_top1,max_val_top5,min_val_top5,val_top1_final_drop,val_loss_reduction,train_loss_reduction,val_mse_increase_from_min,best_gap_top1_train_minus_val,best_gap_loss_val_minus_train,best_gap_mse_val_minus_train,final_gap_top1_train_minus_val,final_gap_loss_val_minus_train,final_gap_mse_val_minus_train,classification_metric_available,val_mse_increase_from_min_pct,val_loss_increase_from_min_pct,warnings,concern_level,vs_baseline_top1
aircraft_convnext_tiny_student_l_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse.pt,aircraft,convnext_tiny,student_l,postgap,mse,distilled,student_l distilled,30,,,val_mse,lowest validation MSE for MSE-only distillation,28,,28,,0.6878941773510151,0.0,0.6878941773510151,0.0,0.0,0.5375038726960006,0.0,0.5375038726960006,0.0,0.0,0.22388013053169203,0.0,0.22388013053169203,0.0,0.0,0.22200181468216965,0.0,0.22200181468216965,0.0,0.0,0.2223625024171668,0.0,0.2223625024171668,0.0,0.0,0.22211491804991332,0.0,0.22211491804991332,0.0,0.0,0.22231371289003443,0.0,0.22231371289003443,0.0,0.0,0.5375038726960006,0.22200181468216965,0.0,0.0,0.5375038726960006,0.22200181468216965,0.0,0.0,0.0,0.0,0.0,0.3153889546460873,0.4655316749338483,0.00011310336774367213,0.0,-0.0018783158495223884,-0.0018783158495223884,0.0,-0.00024758436725347277,-0.00024758436725347277,False,0.050947046494010564,0.050947046494010564,,low,
aircraft_convnext_tiny_student_l_postgap_mse_ce.json,checkpoints/students/aircraft_convnext_tiny_student_l_postgap_mse_ce.pt,aircraft,convnext_tiny,student_l,postgap,mse_ce,distilled,student_l distilled,30,,,val_top1,highest validation Top-1,28,,28,,8.085796003221535,6.807789418678764,1.2780065584411575,1.6196760636428622,6.14877024480663,6.665124312485799,5.729308111332145,0.935816207627366,1.7701770177017702,6.960696069606961,3.1394447262013965,2.740444702950508,0.3990000323328202,27.264547090581882,61.96760647870426,3.1723195311903702,2.78441131161456,0.3879082259601063,26.042604260426042,60.336033603360335,3.0893420918515577,2.6849616450611244,0.40438044918606075,27.714457107434104,63.91721655211194,3.227445937047089,2.802732786329666,0.4247131516831149,24.962496249624962,61.536153615361535,3.143210574881722,2.7573379577547446,0.3858726244769653,26.552655265526553,61.386138613861384,6.665124312485799,3.1723195311903702,5.729308111332145,2.78441131161456,0.935816207627366,0.3876053507250063,26.042604260426042,1.17011701170117,61.536153615361535,6.450645064506451,1.08010801080108,3.4376783754387095,4.9964539113699775,0.03710780095810862,1.2219428301558395,0.03287480498897377,-0.011091806372713897,2.7519608578091415,0.13810384519553143,0.020332702497054156,True,9.573603895998698,1.7377318178296328,,low,-9.57095709570957
aircraft_convnext_tiny_student_l_pregap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_l_pregap_mse.pt,aircraft,convnext_tiny,student_l,pregap,mse,distilled,student_l distilled,30,,,val_mse,lowest validation MSE for MSE-only distillation,30,,30,,1.9429842610522237,0.0,1.9429842610522237,0.0,0.0,1.498400203787526,0.0,1.498400203787526,0.0,0.0,0.9847780130691849,0.0,0.9847780130691849,0.0,0.0,1.0053294467883105,0.0,1.0053294467883105,0.0,0.0,0.9847780130691849,0.0,0.9847780130691849,0.0,0.0,1.0053294467883105,0.0,1.0053294467883105,0.0,0.0,0.9980092537571209,0.0,0.9980092537571209,0.0,0.0,1.498400203787526,1.0053294467883105,0.0,0.0,1.498400203787526,1.0053294467883105,0.0,0.0,0.0,0.0,0.0,0.49307075699921543,0.9582062479830388,0.0,0.0,0.0205514337191256,0.0205514337191256,0.0,0.0205514337191256,0.0205514337191256,False,0.0,0.0,,low,
aircraft_convnext_tiny_student_l_pregap_mse_ce.json,checkpoints/students/aircraft_convnext_tiny_student_l_pregap_mse_ce.pt,aircraft,convnext_tiny,student_l,pregap,mse_ce,distilled,student_l distilled,30,,,val_top1,highest validation Top-1,29,,29,,7.395125687730191,4.696032546706449,2.699093124290105,2.9094181163767248,10.677864425970396,6.950967184673942,4.644713494786979,2.306253724580336,2.9702970297029703,14.671467146714672,2.2805675659339872,0.8673800198561286,1.4131875321331608,78.49430113061861,96.7306538600727,3.0317530353041406,1.5695084151726673,1.4622446274635779,55.14551455145514,85.17851785178517,2.270954891815826,0.8579425444914756,1.4130123402447348,78.85422914959244,96.67066585767319,3.0352682313366834,1.5711166580410787,1.464151572830642,54.84548454845485,85.47854785478548,3.0014275950853295,1.543755896342541,1.4576716911960856,55.56555655565557,86.01860186018602,6.950967184673942,3.0317530353041406,4.644713494786979,1.5695084151726673,2.306253724580336,1.4622446274635779,55.14551455145514,2.9702970297029703,85.47854785478548,14.671467146714672,0.3000300030002947,3.915698953337259,5.124170795914365,0.00190694536706415,23.348786579163466,0.7511854693701534,0.04905709533041702,24.008744601137593,0.7643133395208572,0.051139232585907246,True,0.13041219856433695,0.11594598872695318,train-val Top-1 gap 24.0 pp (overfitting),medium,19.53195319531953
aircraft_convnext_tiny_student_m_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_m_postgap_mse.pt,aircraft,convnext_tiny,student_m,postgap,mse,distilled,student_m distilled,30,,,val_mse,lowest validation MSE for MSE-only distillation,30,,30,,0.7083657702680255,0.0,0.7083657702680255,0.0,0.0,0.5655306930338839,0.0,0.5655306930338839,0.0,0.0,0.24732206044042618,0.0,0.24732206044042618,0.0,0.0,0.24390878999801932,0.0,0.24390878999801932,0.0,0.0,0.24732206044042618,0.0,0.24732206044042618,0.0,0.0,0.24390878999801932,0.0,0.24390878999801932,0.0,0.0,0.24435743487457096,0.0,0.24435743487457096,0.0,0.0,0.5655306930338839,0.24390878999801932,0.0,0.0,0.5655306930338839,0.24390878999801932,0.0,0.0,0.0,0.0,0.0,0.3216219030358646,0.46104370982759935,0.0,0.0,-0.003413270442406857,-0.003413270442406857,0.0,-0.003413270442406857,-0.003413270442406857,False,0.0,0.0,,low,
aircraft_convnext_tiny_student_m_postgap_mse_ce.json,checkpoints/students/aircraft_convnext_tiny_student_m_postgap_mse_ce.pt,aircraft,convnext_tiny,student_m,postgap,mse_ce,distilled,student_m distilled,30,,,val_top1,highest validation Top-1,29,,29,,7.863759065146352,6.681145597948739,1.1826134823222467,1.469706057644062,7.588482301250932,7.8408707251893555,6.826282953236005,1.0145878050372366,1.8601860186018602,8.130813081308132,3.195623431008378,2.787096111661457,0.4085273235660867,27.474505097836023,60.527894421115775,3.33930934108559,2.95045162166449,0.38885773630282416,24.752475247524753,56.975697569756974,3.2285426288002896,2.8241584220902247,0.40438422684048775,27.114577084583082,59.748050385345294,3.352966227618703,2.95783804194762,0.39512819185866416,24.422442244224424,56.795679567956796,3.306481787438082,2.9166329259669284,0.389848869554352,24.69246924692469,58.53585358535854,7.8408707251893555,3.33930934108559,6.826282953236005,2.95045162166449,1.0145878050372366,0.3858823591422434,24.752475247524753,1.7101710171017102,57.00570057005701,7.980798079807981,0.33003300330032914,4.487904497570653,4.635216436346063,0.009245832716420765,2.7220298503112694,0.14368591007721188,-0.01966958726326251,2.6921348403586585,0.12442359881841325,-0.009256034981823591,True,2.3960236837394735,0.4089733875530392,,low,9.06090609060906
aircraft_convnext_tiny_student_m_pregap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_m_pregap_mse.pt,aircraft,convnext_tiny,student_m,pregap,mse,distilled,student_m distilled,30,,,val_mse,lowest validation MSE for MSE-only distillation,30,,30,,2.0071863883544245,0.0,2.0071863883544245,0.0,0.0,1.6432934941882098,0.0,1.6432934941882098,0.0,0.0,1.1834579943609438,0.0,1.1834579943609438,0.0,0.0,1.2040576140085857,0.0,1.2040576140085857,0.0,0.0,1.1834579943609438,0.0,1.1834579943609438,0.0,0.0,1.2040576140085857,0.0,1.2040576140085857,0.0,0.0,1.1968037808867786,0.0,1.1968037808867786,0.0,0.0,1.6432934941882098,1.2040576140085857,0.0,0.0,1.6432934941882098,1.2040576140085857,0.0,0.0,0.0,0.0,0.0,0.4392358801796241,0.8237283939934807,0.0,0.0,0.020599619647641898,0.020599619647641898,0.0,0.020599619647641898,0.020599619647641898,False,0.0,0.0,,low,
aircraft_convnext_tiny_student_m_pregap_mse_ce.json,checkpoints/students/aircraft_convnext_tiny_student_m_pregap_mse_ce.pt,aircraft,convnext_tiny,student_m,pregap,mse_ce,distilled,student_m distilled,30,,,val_top1,highest validation Top-1,29,,29,,7.537011382246561,4.801128494718079,2.735882866504168,2.0095980792397428,8.668266344442292,7.233254701641276,4.507080883869637,2.7261738311482593,2.04020402040204,11.071107110711072,3.324066305131918,1.791724162110327,1.532342148527959,53.449310137972404,84.82303538376797,3.7491393704475886,2.163141078395311,1.5859983012084664,40.65406540654065,75.997599759976,3.339687634887421,1.8078800253190177,1.5318076118567638,52.759448108089565,84.49310137972405,3.7554313758097,2.161777388144641,1.5936539937811072,40.17401740174017,76.2076207620762,3.7083216219952684,2.127629674736387,1.5806919528026677,40.564056405640564,76.74767476747675,7.233254701641276,3.7442998163627856,5.1904404182674435,2.1578182738498994,2.7261738311482593,1.58383237836313,40.65406540654065,2.04020402040204,76.2076207620762,11.071107110711072,0.48004800480048004,3.4778233258315763,4.197323747359141,0.009821615417977103,12.795244731431751,0.42507306531567046,0.053656152680507496,12.585430706349392,0.41574374092227906,0.06184638192434333,True,0.6201171002784786,0.29729348590806903,,low,24.962496249624962
aircraft_convnext_tiny_student_s_postgap_mse.json,checkpoints/students/aircraft_convnext_tiny_student_s_postgap_mse.pt,aircraft,convnext_tiny,student_s,postgap,mse,distilled,student_s distilled,30,,,val_mse,lowest validation MSE for MSE-only distillation,30,,30,,0.7305946900734447,0.0,0.7305946900734447,0.0,0.0,0.49204732373495413,0.0,0.49204732373495413,0.0,0.0,0.2650339138064473,0.0,0.2650339138064473,0.0,0.0,0.2633675914732787,0.0,0.2633675914732787,0.0,0.0,0.2650339138064473,0.0,0.2650339138064473,0.0,0.0,0.2633675914732787,0.0,0.2633675914732787,0.0,0.0,0.26327290982589185,0.0,0.26327290982589185,0.0,0.0,0.49204732373495413,0.2633675914732787,0.0,0.0,0.49204732373495413,0.2633675914732787,0.0,0.0,0.0,0.0,0.0,0.22867973226167543,0.4655607762669974,0.0,0.0,-0.0016663223331686017,-0.0016663223331686017,0.0,-0.0016663223331686017,-0.0016663223331686017,False,0.0,0.0,,low,
aircraft_convnext_tiny_student_s_postgap_mse_ce.json,checkpoints/students/aircraft_convnext_tiny_student_s_postgap_mse_ce.pt,aircraft,convnext_tiny,student_s,postgap,mse_ce,distilled,student_s distilled,30,,,val_top1,highest validation Top-1,29,,29,,8.044155547342832,6.876943321376771,1.1672121893522907,1.5296940611877625,6.44871025680423,7.063030283979707,6.098622173294447,0.9644081067867262,1.9201920192019202,7.740774077407741,3.745281526408799,3.321617250036321,0.4236642795547298,17.876424715056988,44.78104379009757,3.904341929458907,3.4590642626779844,0.44527768084604463,14.941494149414941,41.22412241224122,3.78183392085354,3.354595365106666,0.4272385632913128,17.276544689917607,44.991001799640074,3.9025482761584493,3.4495136068992487,0.4530346585829409,14.791479147914792,42.66426642664266,3.9100934661547058,3.462318180131726,0.4477752772602204,15.811581158115812,41.7041704170417,7.967884002202558,3.9025482761584493,6.94757375808725,3.4495136068992487,1.0203102789517462,0.43464585259766897,14.941494149414941,1.9201920192019202,42.66426642664266,7.740774077407741,0.15001500150014913,3.1604820078212574,4.2623216264892925,0.018388805985271928,2.9349305656420466,0.1590604030501077,0.021613401291314838,2.4850655420028147,0.12071435530490948,0.025796095291628074,True,4.230756114517345,0.0,,low,8.16081608160816
